Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	AL-01126	AL-01127N	AL-01127C	AL-01128N	AL-01128C	AL-01129N	AL-01129C	AL-01130N	AL-01130C	AL-01131N
sp|A2AN08-3|UBR4_MOUSE	A2AN08-3	UBR4_MOUSE	Ubr4	5156	Mus musculus OX=10090	Isoform 3 of E3 ubiquitin-protein ligase UBR4 		1.0000	0.9990	32	0	32	46	0	46	59609542	     0	59609542	10C(57.0214), 10M(15.9949), 11K(229.1629), 12K(229.1629), 13C(57.0214), 13K(229.1629), 14C(57.0214), 14K(229.1629), 16C(57.0214), 16S(229.1629), 17K(229.1629), 2C(57.0214), 4C(57.0214), 5C(57.0214), 6K(229.1629), 6M(15.9949), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629)		sp|A2AN08-5|UBR4_MOUSE, sp|A2AN08|UBR4_MOUSE	1450002.0867	1483470.1190	1160817.8193	1383017.3745	1943416.1011	1615578.5743	1817224.5709	1563444.1810	1738108.0776	1591557.6534
sp|A2APY7|NDUF5_MOUSE	A2APY7	NDUF5_MOUSE	Ndufaf5	343	Mus musculus OX=10090	Arginine-hydroxylase NDUFAF5, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	6	4	6	6493362	6399786	6493362	10C(57.0214), 12K(229.1629), 1C(57.0214), 9K(229.1629), N-term(229.1629)			347928.3761	364534.2155	309684.5481	273885.3287	402910.0967	347431.5537	365193.2426	320875.1096	285542.8847	299992.1579
sp|A2AQP0|MYH7B_MOUSE	A2AQP0	MYH7B_MOUSE	Myh7b	1941	Mus musculus OX=10090	Myosin-7B 	3:Protein inferred from homology	1.0000	0.9990	25	25	25	186	186	186	18826703872	400179320	400179320	10K(229.1629), 11K(229.1629), 12C(57.0214), 13K(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 16M(15.9949), 17K(229.1629), 18K(229.1629), 18M(15.9949), 19K(229.1629), 1K(229.1629), 21K(229.1629), 23K(229.1629), 26S(229.1629), 27M(15.9949), 37K(229.1629), 5C(57.0214), 5M(15.9949), 6C(57.0214), 6M(15.9949), 6S(229.1629), 7S(229.1629), 8S(229.1629), 9K(229.1629), N-term(229.1629)			9889050.1538	11564778.3431	8999195.6389	11397599.7159	13697388.2554	11925668.8492	11732118.4298	9721567.5524	11607700.8044	9676035.7206
sp|A2ASS6-2|TITIN_MOUSE	A2ASS6-2	TITIN_MOUSE	Ttn	26886	Mus musculus OX=10090	Isoform 2 of Titin 		1.0000	0.9959	1	0	1	1	0	1	4533032192	     0	736553	6M(15.9949), 7M(15.9949), 8K(229.1629), N-term(229.1629)			31322.7777	31269.2113	37153.5549	15310.1212	24936.9199	26163.8693	12934.5565	18856.3531	11769.0847	8919.0567
sp|A2ASS6-3|TITIN_MOUSE	A2ASS6-3	TITIN_MOUSE	Ttn	5508	Mus musculus OX=10090	Isoform 3 of Titin 		1.0000	0.9990	80	80	80	178	178	178	4180665536	42459538	42459538	10C(57.0214), 10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 12S(229.1629), 13K(229.1629), 14K(229.1629), 14M(15.9949), 14S(229.1629), 16M(15.9949), 17C(57.0214), 18K(229.1629), 19K(229.1629), 1C(57.0214), 1K(229.1629), 20C(57.0214), 20K(229.1629), 20M(15.9949), 21K(229.1629), 25K(229.1629), 27K(229.1629), 2M(15.9949), 3C(57.0214), 3M(15.9949), 3S(229.1629), 4C(57.0214), 4M(15.9949), 5C(57.0214), 5K(229.1629), 6C(57.0214), 6K(229.1629), 6M(15.9949), 6S(229.1629), 7K(229.1629), 8C(57.0214), 8K(229.1629), 8M(15.9949), 9C(57.0214), 9K(229.1629), 9S(229.1629), N-term(229.1629)			11392015.0700	14136575.8883	10112200.2325	10502910.1521	14050948.7026	12466387.4944	11757520.0866	9581765.4875	10640313.0522	8811303.0719
sp|A2ASS6|TITIN_MOUSE	A2ASS6	TITIN_MOUSE	Ttn	35213	Mus musculus OX=10090	Titin 	1:Experimental evidence at protein level	1.0000	0.9990	2820	574	2820	27090	4604	27090	4533032192	2238429824	4533032192	10C(57.0214), 10K(229.1629), 10M(15.9949), 10S(229.1629), 11C(57.0214), 11K(229.1629), 11M(15.9949), 11S(229.1629), 12C(57.0214), 12K(229.1629), 12M(15.9949), 12S(229.1629), 13C(57.0214), 13K(229.1629), 13M(15.9949), 13S(229.1629), 14C(57.0214), 14K(229.1629), 14M(15.9949), 14S(229.1629), 15C(57.0214), 15K(229.1629), 15M(15.9949), 15S(229.1629), 16C(57.0214), 16K(229.1629), 16M(15.9949), 16S(229.1629), 17C(57.0214), 17K(229.1629), 17M(15.9949), 17S(229.1629), 18C(57.0214), 18K(229.1629), 18M(15.9949), 18S(229.1629), 19C(57.0214), 19K(229.1629), 19M(15.9949), 19S(229.1629), 1C(57.0214), 1C(57.0214), 1K(229.1629), 1M(15.9949), 20C(57.0214), 20K(229.1629), 20M(15.9949), 20S(229.1629), 21C(57.0214), 21K(229.1629), 21M(15.9949), 21S(229.1629), 22C(57.0214), 22K(229.1629), 22M(15.9949), 22S(229.1629), 23C(57.0214), 23K(229.1629), 23S(229.1629), 24C(57.0214), 24K(229.1629), 24M(15.9949), 24S(229.1629), 25C(57.0214), 25K(229.1629), 25M(15.9949), 25S(229.1629), 26C(57.0214), 26K(229.1629), 26M(15.9949), 26S(229.1629), 27C(57.0214), 27K(229.1629), 27S(229.1629), 28C(57.0214), 28K(229.1629), 28S(229.1629), 29C(57.0214), 29K(229.1629), 29M(15.9949), 29S(229.1629), 2C(57.0214), 2K(229.1629), 2M(15.9949), 2S(229.1629), 30C(57.0214), 30K(229.1629), 30M(15.9949), 31C(57.0214), 31K(229.1629), 31M(15.9949), 31S(229.1629), 32K(229.1629), 32M(15.9949), 33C(57.0214), 33K(229.1629), 33M(15.9949), 33S(229.1629), 34K(229.1629), 35K(229.1629), 35S(229.1629), 36K(229.1629), 36M(15.9949), 37C(57.0214), 37K(229.1629), 37M(15.9949), 37S(229.1629), 38C(57.0214), 38K(229.1629), 39C(57.0214), 39K(229.1629), 3C(57.0214), 3K(229.1629), 3M(15.9949), 3S(229.1629), 40C(57.0214), 40K(229.1629), 41K(229.1629), 42K(229.1629), 43C(57.0214), 43K(229.1629), 44K(229.1629), 45K(229.1629), 46K(229.1629), 47K(229.1629), 48K(229.1629), 4C(57.0214), 4K(229.1629), 4M(15.9949), 4S(229.1629), 5C(57.0214), 5K(229.1629), 5M(15.9949), 5S(229.1629), 6C(57.0214), 6K(229.1629), 6M(15.9949), 6S(229.1629), 7C(57.0214), 7K(229.1629), 7M(15.9949), 7S(229.1629), 8C(57.0214), 8K(229.1629), 8M(15.9949), 8S(229.1629), 9C(57.0214), 9K(229.1629), 9M(15.9949), 9S(229.1629), N-term(229.1629)			5297813076.0368	6738988083.6198	4659001444.2921	4828211184.6088	6638589807.7053	5903577662.2305	4623493575.0086	3863933665.2614	4726956199.7310	3280789282.8786
sp|A2AUC9|KLH41_MOUSE	A2AUC9	KLH41_MOUSE	Klhl41	606	Mus musculus OX=10090	Kelch-like protein 41 	1:Experimental evidence at protein level	1.0000	0.9990	37	37	37	223	223	223	638680816	395524920	638680816	10C(57.0214), 10K(229.1629), 11K(229.1629), 12K(229.1629), 12M(15.9949), 13C(57.0214), 15C(57.0214), 16K(229.1629), 17K(229.1629), 17M(15.9949), 18K(229.1629), 19K(229.1629), 1C(57.0214), 1C(57.0214), 1K(229.1629), 20K(229.1629), 21C(57.0214), 22K(229.1629), 25K(229.1629), 2M(15.9949), 34M(15.9949), 35K(229.1629), 3K(229.1629), 3S(229.1629), 4C(57.0214), 4M(15.9949), 4S(229.1629), 5C(57.0214), 5K(229.1629), 5M(15.9949), 6C(57.0214), 6K(229.1629), 6S(229.1629), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8C(57.0214), 8K(229.1629), 8S(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1629)			44124167.4434	48508199.9634	37656146.3756	34194619.7601	45529607.0554	42114062.1867	34693299.3399	29057734.4625	30590330.5169	26802349.3826
sp|A2AWP8-2|ARGAL_MOUSE	A2AWP8-2	ARGAL_MOUSE	Arhgef10l	1241	Mus musculus OX=10090	Isoform 2 of Rho guanine nucleotide exchange factor 10-like protein 		1.0000	0.9990	3	0	3	3	0	3	4231814	     0	4231814	10S(229.1629), 11K(229.1629), 1K(229.1629), 2K(229.1629), N-term(229.1629)		sp|A2AWP8-3|ARGAL_MOUSE, sp|A2AWP8-4|ARGAL_MOUSE, sp|A2AWP8-5|ARGAL_MOUSE, sp|A2AWP8|ARGAL_MOUSE	193542.0422	242787.2058	177108.4015	144931.5687	245946.2422	196881.6179	159000.7507	152774.0628	141827.3482	141071.3977
sp|A3KFX0|5NT1A_MOUSE	A3KFX0	5NT1A_MOUSE	Nt5c1a	365	Mus musculus OX=10090	Cytosolic 5'-nucleotidase 1A 	1:Experimental evidence at protein level	1.0000	0.9990	15	14	15	31	29	31	20811872	20479443	20811872	13K(229.1629), 14K(229.1629), 17K(229.1629), 20K(229.1629), 3K(229.1629), 4S(229.1629), 5K(229.1629), 7K(229.1629), 9K(229.1629), 9S(229.1629), N-term(229.1629)			2453169.7981	2664593.8085	1956047.8334	1962576.4331	2994271.3047	2261765.2450	2152994.3245	1767894.7873	2016508.7089	1440082.2135
sp|A3KG59-2|P20D2_MOUSE	A3KG59-2	P20D2_MOUSE	Pm20d2	305	Mus musculus OX=10090	Isoform 2 of Xaa-Arg dipeptidase 		1.0000	0.9990	4	0	4	7	0	7	11746896	     0	11746896	13K(229.1629), 1K(229.1629), 5C(57.0214), 7K(229.1629), N-term(229.1629)		sp|A3KG59|P20D2_MOUSE	771083.5339	789811.8961	548982.8258	488506.4850	749741.4492	816642.4455	704314.2616	716651.9822	565301.9771	567593.0443
sp|A3KMP2|TTC38_MOUSE	A3KMP2	TTC38_MOUSE	Ttc38	465	Mus musculus OX=10090	Tetratricopeptide repeat protein 38 	1:Experimental evidence at protein level	1.0000	0.9990	8	4	8	9	4	9	2780203	1573617	2780203	11K(229.1629), 12K(229.1629), 14C(57.0214), 15K(229.1629), 16K(229.1629), 6C(57.0214), 7C(57.0214), 7K(229.1629), N-term(229.1629)			309882.1354	323850.2413	271592.9952	372370.7155	443278.0283	409328.2437	448374.4094	367358.9433	463860.4183	388232.6404
sp|A6H611|MIPEP_MOUSE	A6H611	MIPEP_MOUSE	Mipep	711	Mus musculus OX=10090	Mitochondrial intermediate peptidase 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	7	7	7	2367792	2367792	2367792	10M(15.9949), 11K(229.1629), 20C(57.0214), 22C(57.0214), 23K(229.1629), 24K(229.1629), 2C(57.0214), 9K(229.1629), N-term(229.1629)			92853.8549	38558.2369	55681.1153	90955.4236	106184.1880	104432.2845	120742.6652	95148.7902	96188.6089	101162.6247
sp|A6H630|ARMT1_MOUSE	A6H630	ARMT1_MOUSE	Armt1	439	Mus musculus OX=10090	Damage-control phosphatase ARMT1 	1:Experimental evidence at protein level	1.0000	0.9990	15	5	15	32	11	32	42447859	32641542	42447859	10K(229.1629), 11K(229.1629), 13K(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 17K(229.1629), 18K(229.1629), 1C(57.0214), 22K(229.1629), 25K(229.1629), 6M(15.9949), 7K(229.1629), 9K(229.1629), N-term(229.1629)			1825390.0762	2048644.7645	1495606.5600	1731374.7510	2439199.7061	1969794.4508	2080040.6797	1644289.1853	2017260.1690	1596930.9664
sp|A6H8H2-2|DEN4C_MOUSE	A6H8H2-2	DEN4C_MOUSE	Dennd4c	1955	Mus musculus OX=10090	Isoform 2 of DENN domain-containing protein 4C 		1.0000	0.9987	4	0	4	4	0	4	720693	     0	720693	11K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629)		sp|A6H8H2|DEN4C_MOUSE	68786.4001	79579.7734	65844.3546	66269.6926	87641.6553	75218.0526	123352.0416	98885.0051	91784.8703	109694.0138
sp|A6X935|ITIH4_MOUSE	A6X935	ITIH4_MOUSE	Itih4	942	Mus musculus OX=10090	Inter alpha-trypsin inhibitor, heavy chain 4 	1:Experimental evidence at protein level	1.0000	0.9990	8	1	8	11	2	11	463147777	682026	463147777	10K(229.1629), 14K(229.1629), 8K(229.1629), N-term(229.1629)			1208707.2560	1640715.5587	1093098.6790	723011.3722	1380899.2119	1019922.3545	881307.3743	746212.0703	715089.3341	489555.5830
sp|B1AR13|CISD3_MOUSE	B1AR13	CISD3_MOUSE	Cisd3	137	Mus musculus OX=10090	CDGSH iron-sulfur domain-containing protein 3, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	21	21	21	19694179	19694179	19694179	10K(229.1629), 11K(229.1629), 13K(229.1629), 4K(229.1629), 5C(57.0214), 7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), N-term(229.1629)			2222136.4176	2500022.1610	1954393.9495	1633988.7374	2344128.7930	2074267.5164	1817162.6623	1473336.7748	1499108.5167	1460318.3160
sp|B1AXP6|TOM5_MOUSE	B1AXP6	TOM5_MOUSE	Tomm5	51	Mus musculus OX=10090	Mitochondrial import receptor subunit TOM5 homolog 	3:Protein inferred from homology	1.0000	0.9990	3	1	3	4	1	4	6654332	3333118	6654332	7K(229.1629), N-term(229.1629)			805747.7015	973778.6765	705747.6427	726146.1378	965907.3477	895294.1812	787640.8848	614158.3123	632463.9173	572571.9531
sp|B1AY13|UBP24_MOUSE	B1AY13	UBP24_MOUSE	Usp24	2617	Mus musculus OX=10090	Ubiquitin carboxyl-terminal hydrolase 24 	1:Experimental evidence at protein level	1.0000	0.9990	11	8	11	14	9	14	43844090	43105650	43844090	10C(57.0214), 10K(229.1629), 11K(229.1629), 12K(229.1629), 12M(15.9949), 13K(229.1629), 15S(229.1629), 19K(229.1629), 6C(57.0214), 7K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1629)			451191.4935	460772.9895	356261.7198	303201.0475	475587.8564	354930.5296	340647.9360	286752.5853	284732.5233	308002.4022
sp|B2RRE7|OTUD4_MOUSE	B2RRE7	OTUD4_MOUSE	Otud4	1107	Mus musculus OX=10090	OTU domain-containing protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	4421309	4421309	4421309	12K(229.1629), 16K(229.1629), 1K(229.1629), 9S(229.1629), N-term(229.1629)			190222.8685	227835.5988	192003.2857	186634.0408	290273.0879	251421.6764	308366.6347	247656.3832	231022.6550	243016.1587
sp|D3YXG0-2|HMCN1_MOUSE	D3YXG0-2	HMCN1_MOUSE	Hmcn1	5517	Mus musculus OX=10090	Isoform 2 of Hemicentin-1 		1.0000	0.9960	4	0	4	4	0	4	7906409	     0	7906409	10S(229.1629), 13K(229.1629), 17K(229.1629), 21K(229.1629), 3C(57.0214), 7C(57.0214), N-term(229.1629)		sp|D3YXG0|HMCN1_MOUSE	216269.4083	216865.6385	174768.2951	161120.7316	248304.9453	191728.7736	204113.4761	156558.3629	177409.5562	156836.8085
sp|D3YXK2|SAFB1_MOUSE	D3YXK2	SAFB1_MOUSE	Safb	937	Mus musculus OX=10090	Scaffold attachment factor B1 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	4	6	2	6	6565633	3981787	6565633	10K(229.1629), 11K(229.1629), 2K(229.1629), 8K(229.1629), 9C(57.0214), N-term(229.1629), N-term(42.0106)			283604.8662	292269.2438	265871.4892	204616.7795	348935.3013	307718.2846	247511.2310	182398.2180	181451.0316	161617.7320
sp|D3YYU8|OBSL1_MOUSE	D3YYU8	OBSL1_MOUSE	Obsl1	1804	Mus musculus OX=10090	Obscurin-like protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	4	2	4	1968789	1457865	1968789	15K(229.1629), N-term(229.1629)			85555.6009	87626.5334	72899.0594	92437.7231	130054.0605	100751.6355	143006.8244	101764.7853	105613.9863	116811.8827
sp|D3Z1D3|CEFIP_MOUSE	D3Z1D3	CEFIP_MOUSE	CEFIP	1412	Mus musculus OX=10090	Cardiac-enriched FHL2-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	12	12	12	3487010	3487010	3487010	10K(229.1629), 11K(229.1629), 19K(229.1629), 20K(229.1629), 6K(229.1629), 7K(229.1629), N-term(229.1629)			488918.2414	389673.4598	371600.5779	468036.2622	639966.2104	487256.2997	521339.8353	381384.8162	492994.0665	413674.8929
sp|D3Z4I3|RBM24_MOUSE	D3Z4I3	RBM24_MOUSE	Rbm24	236	Mus musculus OX=10090	RNA-binding protein 24 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	5	0	5	25021887	     0	25021887	11K(229.1629), 12K(229.1629), 1K(229.1629), 2C(57.0214), 3K(229.1629), 7M(15.9949), N-term(229.1629)		sp|Q62176|RBM38_MOUSE	341936.7902	403366.0154	352231.3582	343278.8804	407733.9727	412455.1232	388574.3716	348833.6395	337934.3562	347375.9308
sp|D3Z6H8|DCAM2_MOUSE	D3Z6H8	DCAM2_MOUSE	Amd2	334	Mus musculus OX=10090	S-adenosylmethionine decarboxylase proenzyme 2 	1:Experimental evidence at protein level	1.0000	0.9990	12	0	12	27	0	27	23485070	     0	23485070	10K(229.1629), 11K(229.1629), 12K(229.1629), 13M(15.9949), 1K(229.1629), 20C(57.0214), 21M(15.9949), 26M(15.9949), 27K(229.1629), 2C(57.0214), 4C(57.0214), 6K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)		sp|P0DMN7|DCAM1_MOUSE	1801822.7527	2592926.7970	1591575.1512	1729894.2391	2096010.9238	1739674.0496	1772061.8995	1598376.0117	1595884.6321	1343488.1983
